Timestamp,Temperature,Humidity,Motion,Sound_RMS,Sound_dB,Acoustic_Category,BLE_Count,Occupancy_Status
2026-05-30 12:55:26,0.0,0.0,0,0.005018,54.0,"Unknown",0.0,"Vacant"
2026-05-30 12:55:28,0.0,0.0,0,0.000254,28.1,"Unknown",0.0,"Vacant"
2026-05-30 12:55:29,0.0,0.0,1,0.000319,30.1,"Unknown",0.0,"Dynamic Low"
2026-05-30 12:55:30,0.0,0.0,1,0.000327,30.3,"Unknown",0.4,"Dynamic Low"
2026-05-30 12:55:31,0.0,0.0,0,0.000276,28.8,"BGM",0.4,"Dynamic Low"
2026-05-30 12:55:32,0.0,0.0,0,0.000366,31.3,"BGM",0.4,"Dynamic Low"
2026-05-30 12:55:33,25.2,34.0,0,0.000289,29.2,"BGM",0.4,"Dynamic Low"
2026-05-30 12:55:34,25.2,34.0,0,0.000241,27.6,"BGM",0.4,"Dynamic Low"
2026-05-30 12:55:35,25.2,34.0,0,0.000275,28.8,"BGM",0.4,"Dynamic Low"
2026-05-30 12:55:36,25.2,34.0,0,0.000315,30.0,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:55:37,25.2,34.0,1,0.000398,32.0,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:55:39,25.2,34.0,1,0.000354,31.0,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:55:40,25.2,34.0,0,0.000258,28.2,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:55:41,25.2,34.0,0,0.000302,29.6,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:55:42,25.2,34.0,0,0.000275,28.8,"Deep Focus",7.5,"Dynamic High (Active Area)"
2026-05-30 12:55:43,25.2,34.0,0,0.000301,29.6,"Deep Focus",7.5,"Dynamic High (Active Area)"
2026-05-30 12:55:44,25.2,34.0,0,0.000292,29.3,"Deep Focus",7.5,"Dynamic High (Active Area)"
2026-05-30 12:55:45,25.2,34.0,1,0.000288,29.2,"Deep Focus",8.5,"Dynamic High (Active Area)"
2026-05-30 12:55:46,25.2,34.0,1,0.000782,37.9,"Deep Focus",8.5,"Dynamic High (Active Area)"
2026-05-30 12:55:47,25.2,34.0,0,0.000343,30.7,"Deep Focus",8.5,"Dynamic High (Active Area)"
2026-05-30 12:55:48,25.2,34.0,0,0.000296,29.4,"Deep Focus",5.9,"Dynamic High (Active Area)"
2026-05-30 12:55:50,25.2,34.0,0,0.000287,29.2,"Deep Focus",5.9,"Dynamic High (Active Area)"
2026-05-30 12:55:51,25.1,34.0,0,0.000243,27.7,"Deep Focus",4.2,"Dynamic High (Active Area)"
2026-05-30 12:55:52,25.1,34.0,0,0.000304,29.7,"Deep Focus",4.2,"Dynamic High (Active Area)"
2026-05-30 12:55:53,25.1,34.0,0,0.000360,31.1,"Deep Focus",4.2,"Dynamic High (Active Area)"
2026-05-30 12:55:54,25.1,34.0,1,0.000280,29.0,"Deep Focus",3.6,"Dynamic Low"
2026-05-30 12:55:55,25.1,34.0,1,0.000262,28.4,"Deep Focus",3.6,"Dynamic Low"
2026-05-30 12:55:56,25.1,34.0,1,0.000312,29.9,"Deep Focus",3.6,"Dynamic Low"
2026-05-30 12:55:57,25.1,34.0,0,0.000279,28.9,"Deep Focus",3.3,"Dynamic Low"
2026-05-30 12:55:58,25.1,34.0,0,0.000274,28.8,"Deep Focus",3.3,"Dynamic Low"
2026-05-30 12:55:59,25.1,34.0,0,0.000350,30.9,"Deep Focus",3.2,"Dynamic Low"
2026-05-30 12:56:01,25.1,34.0,0,0.000601,35.6,"Deep Focus",3.2,"Dynamic Low"
2026-05-30 12:56:02,25.1,34.0,0,0.000284,29.1,"Deep Focus",3.2,"Dynamic Low"
2026-05-30 12:56:03,25.1,34.0,0,0.000281,29.0,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:04,25.1,34.0,1,0.000298,29.5,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:05,25.1,34.0,1,0.000187,25.4,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:06,25.1,34.0,0,0.000312,29.9,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:07,25.1,34.0,0,0.000263,28.4,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:08,25.1,34.0,0,0.000292,29.3,"Deep Focus",1.6,"Dynamic Low"
2026-05-30 12:56:09,25.1,34.0,0,0.000275,28.8,"Deep Focus",4.6,"Dynamic High (Active Area)"
2026-05-30 12:56:10,25.0,34.0,1,0.000278,28.9,"Deep Focus",4.6,"Dynamic High (Active Area)"
2026-05-30 12:56:12,25.0,34.0,1,0.000272,28.7,"Deep Focus",9.1,"Dynamic High (Active Area)"
2026-05-30 12:56:13,25.0,34.0,1,0.000281,29.0,"Deep Focus",9.1,"Dynamic High (Active Area)"
2026-05-30 12:56:14,25.0,34.0,0,0.000329,30.4,"Deep Focus",9.1,"Dynamic High (Active Area)"
2026-05-30 12:56:15,25.0,34.0,0,0.000252,28.0,"Deep Focus",7.9,"Dynamic High (Active Area)"
2026-05-30 12:56:16,25.0,34.0,0,0.000357,31.1,"Deep Focus",7.9,"Dynamic High (Active Area)"
2026-05-30 12:56:17,25.0,34.0,0,0.000297,29.4,"Deep Focus",7.9,"Dynamic High (Active Area)"
2026-05-30 12:56:18,25.0,34.0,1,0.000321,30.1,"Deep Focus",5.9,"Dynamic High (Active Area)"
2026-05-30 12:56:19,25.0,34.0,1,0.000263,28.4,"Deep Focus",5.9,"Dynamic High (Active Area)"
2026-05-30 12:56:20,25.0,34.0,1,0.000301,29.6,"Deep Focus",5.9,"Dynamic High (Active Area)"
2026-05-30 12:56:22,25.0,34.0,0,0.000264,28.4,"Deep Focus",7.6,"Dynamic High (Active Area)"
2026-05-30 12:56:23,25.0,34.0,0,0.000286,29.1,"Deep Focus",7.6,"Dynamic High (Active Area)"
2026-05-30 12:56:24,25.0,34.0,0,0.000274,28.8,"Deep Focus",6.6,"Dynamic High (Active Area)"
2026-05-30 12:56:25,25.0,34.0,0,0.000315,30.0,"Deep Focus",6.6,"Dynamic High (Active Area)"
2026-05-30 12:56:26,25.0,34.0,1,0.000285,29.1,"Deep Focus",6.6,"Dynamic High (Active Area)"
2026-05-30 12:56:27,25.0,34.0,1,0.000285,29.1,"Deep Focus",3.8,"Dynamic Low"
2026-05-30 12:56:28,25.0,34.0,0,0.000277,28.9,"Deep Focus",3.8,"Dynamic Low"
2026-05-30 12:56:29,25.0,34.0,0,0.000289,29.2,"Deep Focus",3.8,"Dynamic Low"
2026-05-30 12:56:30,25.0,34.0,0,0.000248,27.9,"Deep Focus",4.4,"Dynamic High (Active Area)"
2026-05-30 12:56:31,25.0,34.0,0,0.002554,48.1,"Deep Focus",4.4,"Dynamic High (Active Area)"
2026-05-30 12:56:33,25.0,34.0,0,0.000293,29.3,"Deep Focus",4.4,"Dynamic High (Active Area)"
2026-05-30 12:56:34,25.0,34.0,0,0.000283,29.0,"Deep Focus",3.8,"Dynamic Low"
2026-05-30 12:56:35,25.0,34.0,0,0.000273,28.7,"Deep Focus",3.8,"Dynamic Low"
2026-05-30 12:56:36,25.0,34.0,1,0.000353,30.9,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:37,25.0,34.0,1,0.000315,30.0,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:38,25.0,34.0,0,0.000284,29.1,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:39,24.9,34.0,0,0.000456,33.2,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:40,24.9,34.0,0,0.000264,28.4,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:41,24.9,34.0,0,0.000382,31.6,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:42,24.9,34.0,0,0.000234,27.4,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:44,24.9,34.0,0,0.000276,28.8,"Deep Focus",1.0,"Dynamic Low"
2026-05-30 12:56:45,24.9,34.0,1,0.000292,29.3,"Deep Focus",0.7,"Dynamic Low"
2026-05-30 12:56:46,24.9,34.0,1,0.000273,28.7,"Deep Focus",0.7,"Dynamic Low"
2026-05-30 12:56:47,24.9,34.0,1,0.000264,28.4,"Deep Focus",0.7,"Dynamic Low"
2026-05-30 12:56:48,24.9,34.0,0,0.000341,30.7,"Deep Focus",2.0,"Dynamic Low"
2026-05-30 12:56:49,24.9,34.0,0,0.000268,28.6,"Deep Focus",2.0,"Dynamic Low"
2026-05-30 12:56:50,24.9,34.0,0,0.000233,27.4,"Deep Focus",2.0,"Dynamic Low"
2026-05-30 12:56:51,24.9,34.0,0,0.000343,30.7,"Deep Focus",8.5,"Dynamic High (Active Area)"
2026-05-30 12:56:52,24.9,34.0,1,0.000250,27.9,"Deep Focus",8.5,"Dynamic High (Active Area)"
