Timestamp,Temperature,Humidity,Motion,Sound_RMS,Sound_dB,Acoustic_Category,BLE_Count,Occupancy_Status
2026-05-19 16:03:06,0.0,0.0,0,0.001157,41.3,"Unknown",1,"Static Low (Quiet Study)"
2026-05-19 16:03:13,0.0,0.0,1,0.006784,56.6,"Unknown",1,"Dynamic Low"
2026-05-19 16:03:19,23.5,52.0,0,0.006789,56.6,"Unknown",1,"Static Low (Quiet Study)"
2026-05-19 16:03:25,23.5,52.0,0,0.000423,32.5,"Unknown",1,"Static Low (Quiet Study)"
2026-05-19 16:03:31,23.5,52.0,0,0.001551,43.8,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:03:38,23.5,52.0,1,0.000531,34.5,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:03:44,23.5,53.0,0,0.001203,41.6,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:03:50,23.5,53.0,0,0.000386,31.7,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:03:56,23.5,53.0,0,0.001323,42.4,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:02,23.5,53.0,1,0.003271,50.3,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:04:09,23.5,53.0,0,0.001201,41.6,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:15,23.5,53.0,0,0.000562,35.0,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:21,23.5,53.0,0,0.015830,64.0,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:27,23.4,53.0,1,0.000367,31.3,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:04:32,23.4,53.0,0,0.000369,31.3,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:39,23.5,53.0,0,0.000257,28.2,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:45,23.5,53.0,0,0.000284,29.1,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:04:51,23.5,53.0,1,0.002261,47.1,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:04:57,23.5,53.0,0,0.003099,49.8,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:05:03,23.5,53.0,0,0.002963,49.4,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:05:10,23.5,53.0,1,0.001384,42.8,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:05:16,23.6,53.0,0,0.000349,30.9,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:05:22,23.6,53.0,1,0.001038,40.3,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:05:28,23.6,53.0,1,0.006272,55.9,"Deep Focus",1,"Dynamic Low"
2026-05-19 16:05:34,23.7,53.0,0,0.001015,40.1,"Deep Focus",1,"Static Low (Quiet Study)"
2026-05-19 16:05:41,23.6,53.0,0,0.003000,49.5,"Deep Focus",1,"Static Low (Quiet Study)"
